Date,"Stephen Curry","NBA Finals"
2018-05-11,12347,5663
2018-05-12,12300,5547
2018-05-13,11272,5474
2018-05-14,11501,4346
2018-05-15,30596,6852
2018-05-16,17054,7318
2018-05-17,23382,4479
2018-05-18,12526,2876
2018-05-19,9251,2631
2018-05-20,11393,4222
2018-05-21,48479,5976
2018-05-22,20378,7847
2018-05-23,40224,6329
2018-05-24,17186,6591
2018-05-25,31152,8267
2018-05-26,17221,9290
2018-05-27,45992,11967
2018-05-28,32696,86226
2018-05-29,111402,184616
2018-05-30,31363,39932
2018-05-31,32451,34646
2018-06-01,133096,53378
2018-06-02,32139,12141
2018-06-03,29896,13354
2018-06-04,206234,37441
2018-06-05,45682,12280
2018-06-06,37328,12705
2018-06-07,100813,45722
2018-06-08,39283,16856
2018-06-09,300458,75443
2018-06-10,69205,12871
2018-06-11,46993,11043
2018-06-12,35939,8175
2018-06-13,30436,5759
2018-06-14,22563,4459
2018-06-15,17536,3571
2018-06-16,15204,2618
2018-06-17,16905,2302
2018-06-18,17016,2376
2018-06-19,15758,2036
2018-06-20,15075,1960
2018-06-21,17962,1905
2018-06-22,19136,1786
2018-06-23,12959,1520
2018-06-24,11646,1477
2018-06-25,40882,1517
2018-06-26,20966,2197
2018-06-27,13634,1725
2018-06-28,11490,1644
2018-06-29,10924,2035
2018-06-30,10814,2212
2018-07-01,11471,2225
2018-07-02,27699,8998
2018-07-03,31306,5498
2018-07-04,15988,2538
2018-07-05,37776,2101
2018-07-06,17818,1887
2018-07-07,13618,1687
